asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B00IDV4ACC,2023/1/1,34930,14,17,26,23,77
B00IDV4ACC,2023/1/8,201526,15,18,25,24,75
B00IDV4ACC,2023/1/15,36577,14,16,25,24,75
B00IDV4ACC,2023/1/22,127179,13,15,26,23,71
B00IDV4ACC,2023/1/29,233693,15,18,27,27,73
B00IDV4ACC,2023/2/5,53746,15,18,30,24,78
B00IDV4ACC,2023/2/12,35682,15,16,27,25,79
B00IDV4ACC,2023/2/19,37184,14,18,29,25,99
B00IDV4ACC,2023/2/26,72223,14,18,27,23,84
B00IDV4ACC,2023/3/5,50792,16,20,25,23,87
B00IDV4ACC,2023/3/12,246561,14,17,25,23,83
B00IDV4ACC,2023/3/19,293744,15,19,27,23,76
B00IDV4ACC,2023/3/26,25986,16,17,24,23,83
B00IDV4ACC,2023/4/2,60080,15,17,23,22,82
B00IDV4ACC,2023/4/9,20686,13,17,24,23,82
B00IDV4ACC,2023/4/16,173174,16,17,28,23,84
B00IDV4ACC,2023/4/23,240939,15,16,25,22,85
B00IDV4ACC,2023/4/30,281265,15,17,26,23,89
B00IDV4ACC,2023/5/7,30880,16,16,31,27,80
B00IDV4ACC,2023/5/14,33460,16,18,27,22,83
B00IDV4ACC,2023/5/21,32593,15,19,26,24,88
B00IDV4ACC,2023/5/28,261337,14,18,23,22,81
B00IDV4ACC,2023/6/4,41020,16,17,24,22,83
B00IDV4ACC,2023/6/11,42335,18,16,26,27,74
B00IDV4ACC,2023/6/18,69861,17,16,26,23,75
B00IDV4ACC,2023/6/25,258509,14,15,22,24,74
B00IDV4ACC,2023/7/2,308167,15,15,23,24,70
B00IDV4ACC,2023/7/9,101905,15,17,24,24,76
B00IDV4ACC,2023/7/16,164176,15,16,23,23,73
B00IDV4ACC,2023/7/23,44365,14,15,23,25,74
B00IDV4ACC,2023/7/30,57249,14,16,24,26,79
B00IDV4ACC,2023/8/6,162731,14,15,23,24,76
B00IDV4ACC,2023/8/13,280569,16,16,22,23,74
B00IDV4ACC,2023/8/20,323956,14,15,22,25,75
B00IDV4ACC,2023/8/27,344977,16,19,25,26,85
B00IDV4ACC,2023/9/3,366324,14,18,25,25,79
B00IDV4ACC,2023/9/10,375690,15,27,34,32,100
B00IDV4ACC,2023/9/17,48820,16,24,35,33,87
B00IDV4ACC,2023/9/24,33461,16,27,34,31,91
B00IDV4ACC,2023/10/1,36875,16,23,30,31,94
B00IDV4ACC,2023/10/8,47409,16,24,33,27,88
B00IDV4ACC,2023/10/15,245118,15,22,26,27,85
B00IDV4ACC,2023/10/22,42554,16,22,28,28,89
B00IDV4ACC,2023/10/29,30264,16,21,29,27,90
B00IDV4ACC,2023/11/5,47027,16,21,28,26,94
B00IDV4ACC,2023/11/12,26056,13,19,26,25,81
B00IDV4ACC,2023/11/19,30542,15,18,26,26,83
B00IDV4ACC,2023/11/26,32355,16,20,26,28,87
B00IDV4ACC,2023/12/3,32232,15,19,26,27,83
B00IDV4ACC,2023/12/10,47690,15,18,28,28,79
B00IDV4ACC,2023/12/17,39793,14,18,23,25,72
B00IDV4ACC,2023/12/24,30733,12,16,23,21,66
B00IDV4ACC,2023/12/31,45768,15,18,24,22,72
B00IDV4ACC,2024/1/7,33755,16,18,24,25,72
B00IDV4ACC,2024/1/14,121382,15,20,23,25,76
B00IDV4ACC,2024/1/21,32184,14,17,23,26,79
B00IDV4ACC,2024/1/28,107194,14,19,25,26,82
B00IDV4ACC,2024/2/4,280289,15,18,24,27,81
B00IDV4ACC,2024/2/11,315500,15,21,25,25,84
B00IDV4ACC,2024/2/18,344107,15,20,26,26,88
B00IDV4ACC,2024/2/25,372009,15,20,24,27,77
B00IDV4ACC,2024/3/3,391571,15,22,26,26,84
B00IDV4ACC,2024/3/10,403566,16,21,25,27,91
B00IDV4ACC,2024/3/17,404787,15,21,27,27,91
B00IDV4ACC,2024/3/24,53761,15,19,24,24,90
B00IDV4ACC,2024/3/31,269252,14,19,24,23,86
B00IDV4ACC,2024/4/7,24005,16,20,22,25,92
B00IDV4ACC,2024/4/14,39420,18,19,23,28,94
B00IDV4ACC,2024/4/21,46155,15,20,24,26,90
B00IDV4ACC,2024/4/28,184793,17,21,25,26,98
B00IDV4ACC,2024/5/5,36802,16,21,24,28,95
B00IDV4ACC,2024/5/12,100378,17,22,26,26,94
B00IDV4ACC,2024/5/19,254710,19,20,28,26,96
B00IDV4ACC,2024/5/26,293749,15,19,24,26,89
B00IDV4ACC,2024/6/2,335911,15,19,23,26,89
B00IDV4ACC,2024/6/9,45635,16,17,22,25,84
B00IDV4ACC,2024/6/16,38304,15,16,23,26,85
B00IDV4ACC,2024/6/23,35589,15,16,23,27,76
B00IDV4ACC,2024/6/30,33498,16,15,23,27,81
B00IDV4ACC,2024/7/7,42873,14,15,21,23,78
B00IDV4ACC,2024/7/14,241321,16,15,21,25,85
B00IDV4ACC,2024/7/21,34248,14,16,20,25,74
B00IDV4ACC,2024/7/28,20858,13,15,21,23,73
B00IDV4ACC,2024/8/4,124791,15,14,19,22,74
B00IDV4ACC,2024/8/11,257532,13,16,22,23,76
B00IDV4ACC,2024/8/18,38232,16,16,22,24,79
B00IDV4ACC,2024/8/25,32118,15,14,22,25,74
B00IDV4ACC,2024/9/1,34773,16,16,22,25,77
B00IDV4ACC,2024/9/8,135195,17,24,30,28,85
B00IDV4ACC,2024/9/15,298830,16,23,27,28,89
B00IDV4ACC,2024/9/22,356935,15,24,28,27,85
B00IDV4ACC,2024/9/29,38663,15,21,24,25,85
B00IDV4ACC,2024/10/6,37492,14,22,24,27,87
B00IDV4ACC,2024/10/13,161135,16,23,25,27,95
B00IDV4ACC,2024/10/20,293412,17,20,25,27,87
B00IDV4ACC,2024/10/27,341892,14,19,23,27,86
B00IDV4ACC,2024/11/3,41468,16,20,25,28,91
B00IDV4ACC,2024/11/10,34858,17,19,25,26,90
B00IDV4ACC,2024/11/17,28065,17,19,22,26,87
B00IDV4ACC,2024/11/24,36673,16,19,24,26,89
B00IDV4ACC,2024/12/1,177447,18,20,26,29,89
B00IDV4ACC,2024/12/8,324937,17,19,25,26,88
B00IDV4ACC,2024/12/15,327347,16,18,24,28,85
B00IDV4ACC,2024/12/22,365408,15,15,21,26,76
B00IDV4ACC,2024/12/29,64988,16,18,23,21,85
B00IDV4ACC,2025/1/5,130139,16,20,24,26,79
B00IDV4ACC,2025/1/12,33934,15,19,23,28,83
B00IDV4ACC,2025/1/19,23840,15,18,22,27,81
B00IDV4ACC,2025/1/26,35426,15,18,21,26,82
B00IDV4ACC,2025/2/2,156713,15,17,24,26,83
B00IDV4ACC,2025/2/9,27366,16,19,25,27,81
B00IDV4ACC,2025/2/16,166825,15,21,26,30,87
B00IDV4ACC,2025/2/23,286945,16,22,26,27,91
B00IDV4ACC,2025/3/2,65470,17,18,25,28,89
B00IDV4ACC,2025/3/9,225465,16,19,23,26,89
B00IDV4ACC,2025/3/16,338969,18,21,27,29,89
B00IDV4ACC,2025/3/23,375048,16,20,26,27,86
B00IDV4ACC,2025/3/30,395889,15,19,25,25,84
B00IDV4ACC,2025/4/6,420250,16,21,22,28,87
B00IDV4ACC,2025/4/13,424602,18,17,24,26,83
B00IDV4ACC,2025/4/20,429121,15,16,23,24,83
B00IDV4ACC,2025/4/27,435484,17,22,25,23,90
B00IDV4ACC,2025/5/4,438052,16,21,23,25,91
B00IDV4ACC,2025/5/11,440534,17,20,25,27,86
B00IDV4ACC,2025/5/18,442598,17,18,24,25,85
B00IDV4ACC,2025/5/25,97362,18,18,24,24,89
B00IDV4ACC,2025/6/1,324040,15,18,22,26,81
B00IDV4ACC,2025/6/8,394218,16,17,22,26,79
B00IDV4ACC,2025/6/15,415952,15,16,20,26,76
B00IDV4ACC,2025/6/22,98064,15,16,22,24,72
B00IDV4ACC,2025/6/29,92694,16,15,20,24,74
B00IDV4ACC,2025/7/6,77693,15,16,22,24,73
B00IDV4ACC,2025/7/13,139841,16,16,21,24,72
B00IDV4ACC,2025/7/20,293838,15,15,22,24,76
B00IDV4ACC,2025/7/27,67334,14,14,20,24,71
B00IDV4ACC,2025/8/3,126269,16,15,20,23,79
B00IDV4ACC,2025/8/10,83830,17,15,21,22,76
B00IDV4ACC,2025/8/17,134549,17,17,24,24,85
B00IDV4ACC,2025/8/24,305877,17,17,21,24,83
B00IDV4ACC,2025/8/31,113927,17,18,21,24,84
B00IDV4ACC,2025/9/7,268913,17,29,29,30,85
B00IDV4ACC,2025/9/14,37636,16,27,27,26,81
B00IDV4ACC,2025/9/21,26438,16,22,24,25,81
B00IDV4ACC,2025/9/28,20488,16,22,24,27,83
B00IDV4ACC,2025/10/5,25282,16,23,23,27,82
B00IDV4ACC,2025/10/12,29214,16,21,22,24,86
B00IDV4ACC,2025/10/19,28517,15,21,24,25,77
B00IDV4ACC,2025/10/26,20467,15,18,22,25,75
B00IDV4ACC,2025/11/2,42945,14,20,22,26,77
B00IDV4ACC,2025/11/9,26595,14,19,23,25,75
B00IDV4ACC,2025/11/16,24239,15,18,23,26,76
B00IDV4ACC,2025/11/23,27735,16,21,24,25,83
B00IDV4ACC,2025/11/30,24808,16,17,23,26,79
B00IDV4ACC,2025/12/7,28950,17,17,23,24,83
B00IDV4ACC,2025/12/14,17739,16,16,23,25,81
B00IDV4ACC,2025/12/21,14269,14,15,21,22,84
B00IDV4ACC,2025/12/28,17520,15,18,23,21,81
