asin,week_start_date,weekly_salesrank
B09G2LNCXG,2023-01-01,252
B09G2LNCXG,2023-01-08,217
B09G2LNCXG,2023-01-15,207
B09G2LNCXG,2023-01-22,208
B09G2LNCXG,2023-01-29,223
B09G2LNCXG,2023-02-05,311
B09G2LNCXG,2023-02-12,434
B09G2LNCXG,2023-02-19,509
B09G2LNCXG,2023-02-26,482
B09G2LNCXG,2023-03-05,529
B09G2LNCXG,2023-03-12,494
B09G2LNCXG,2023-03-19,370
B09G2LNCXG,2023-03-26,521
B09G2LNCXG,2023-04-02,488
B09G2LNCXG,2023-04-09,1026
B09G2LNCXG,2023-04-16,569
B09G2LNCXG,2023-04-23,1256
B09G2LNCXG,2023-04-30,675
B09G2LNCXG,2023-05-07,1249
B09G2LNCXG,2023-05-14,1281
B09G2LNCXG,2023-05-21,526
B09G2LNCXG,2023-05-28,437
B09G2LNCXG,2023-06-04,306
B09G2LNCXG,2023-06-11,441
B09G2LNCXG,2023-06-18,451
B09G2LNCXG,2023-06-25,512
B09G2LNCXG,2023-07-02,404
B09G2LNCXG,2023-07-09,467
B09G2LNCXG,2023-07-16,466
B09G2LNCXG,2023-07-23,490
B09G2LNCXG,2023-07-30,523
B09G2LNCXG,2023-08-06,737
B09G2LNCXG,2023-08-13,386
B09G2LNCXG,2023-08-20,589
B09G2LNCXG,2023-08-27,638
B09G2LNCXG,2023-09-03,1304
B09G2LNCXG,2023-09-10,581
B09G2LNCXG,2023-09-17,425
B09G2LNCXG,2023-09-24,662
B09G2LNCXG,2023-10-01,832
B09G2LNCXG,2023-10-08,610
B09G2LNCXG,2023-10-15,1056
B09G2LNCXG,2023-10-22,1320
B09G2LNCXG,2023-10-29,576
B09G2LNCXG,2023-11-05,503
B09G2LNCXG,2023-11-12,502
B09G2LNCXG,2023-11-19,734
B09G2LNCXG,2023-11-26,637
B09G2LNCXG,2023-12-03,508
B09G2LNCXG,2023-12-10,1063
B09G2LNCXG,2023-12-17,1466
B09G2LNCXG,2023-12-24,1390
B09G2LNCXG,2023-12-31,590
B09G2LNCXG,2024-01-07,735
B09G2LNCXG,2024-01-14,1232
B09G2LNCXG,2024-01-21,1425
B09G2LNCXG,2024-01-28,511
B09G2LNCXG,2024-02-04,1158
B09G2LNCXG,2024-02-11,1476
B09G2LNCXG,2024-02-18,1518
B09G2LNCXG,2024-02-25,793
B09G2LNCXG,2024-03-03,1595
B09G2LNCXG,2024-03-10,694
B09G2LNCXG,2024-03-17,1611
B09G2LNCXG,2024-03-24,937
B09G2LNCXG,2024-03-31,1230
B09G2LNCXG,2024-04-07,1649
B09G2LNCXG,2024-04-14,1647
B09G2LNCXG,2024-04-21,1689
B09G2LNCXG,2024-04-28,1689
B09G2LNCXG,2024-05-05,1695
B09G2LNCXG,2024-05-12,626
B09G2LNCXG,2024-05-19,802
B09G2LNCXG,2024-05-26,621
B09G2LNCXG,2024-06-02,755
B09G2LNCXG,2024-06-09,937
B09G2LNCXG,2024-06-16,1699
B09G2LNCXG,2024-06-23,1781
B09G2LNCXG,2024-06-30,896
B09G2LNCXG,2024-07-07,1878
B09G2LNCXG,2024-07-14,680
B09G2LNCXG,2024-07-21,991
B09G2LNCXG,2024-07-28,903
B09G2LNCXG,2024-08-04,1837
B09G2LNCXG,2024-08-11,756
B09G2LNCXG,2024-08-18,724
B09G2LNCXG,2024-08-25,671
B09G2LNCXG,2024-09-01,972
B09G2LNCXG,2024-09-08,771
B09G2LNCXG,2024-09-15,648
B09G2LNCXG,2024-09-22,1861
B09G2LNCXG,2024-09-29,1867
B09G2LNCXG,2024-10-06,1219
B09G2LNCXG,2024-10-13,1091
B09G2LNCXG,2024-10-20,681
B09G2LNCXG,2024-10-27,1676
B09G2LNCXG,2024-11-03,1975
B09G2LNCXG,2024-11-10,1979
B09G2LNCXG,2024-11-17,2016
B09G2LNCXG,2024-11-24,2030
B09G2LNCXG,2024-12-01,2272
B09G2LNCXG,2024-12-08,915
B09G2LNCXG,2024-12-15,1159
B09G2LNCXG,2024-12-22,990
B09G2LNCXG,2024-12-29,2007
B09G2LNCXG,2025-01-05,2171
B09G2LNCXG,2025-01-12,1427
B09G2LNCXG,2025-01-19,756
B09G2LNCXG,2025-01-26,1647
B09G2LNCXG,2025-02-02,688
B09G2LNCXG,2025-02-09,675
B09G2LNCXG,2025-02-16,808
B09G2LNCXG,2025-02-23,1457
B09G2LNCXG,2025-03-02,2243
B09G2LNCXG,2025-03-09,1346
B09G2LNCXG,2025-03-16,1644
B09G2LNCXG,2025-03-23,778
B09G2LNCXG,2025-03-30,1587
B09G2LNCXG,2025-04-06,2321
B09G2LNCXG,2025-04-13,869
B09G2LNCXG,2025-04-20,982
B09G2LNCXG,2025-04-27,951
B09G2LNCXG,2025-05-04,2019
B09G2LNCXG,2025-05-11,1573
B09G2LNCXG,2025-05-18,2742
B09G2LNCXG,2025-05-25,1633
B09G2LNCXG,2025-06-01,1629
B09G2LNCXG,2025-06-08,2040
B09G2LNCXG,2025-06-15,3384
B09G2LNCXG,2025-06-22,1652
B09G2LNCXG,2025-06-29,2074
B09G2LNCXG,2025-07-06,3452
B09G2LNCXG,2025-07-13,4002
B09G2LNCXG,2025-07-20,4056
B09G2LNCXG,2025-07-27,1653
B09G2LNCXG,2025-08-03,1470
B09G2LNCXG,2025-08-10,1051
B09G2LNCXG,2025-08-17,1471
B09G2LNCXG,2025-08-24,3112
B09G2LNCXG,2025-08-31,3720
B09G2LNCXG,2025-09-07,4151
B09G2LNCXG,2025-09-14,1500
B09G2LNCXG,2025-09-21,2300
B09G2LNCXG,2025-09-28,3850
B09G2LNCXG,2025-10-05,4515
B09G2LNCXG,2025-10-12,4728
B09G2LNCXG,2025-10-19,1644
B09G2LNCXG,2025-10-26,3803
B09G2LNCXG,2025-11-02,4286
B09G2LNCXG,2025-11-09,1272
B09G2LNCXG,2025-11-16,2231
B09G2LNCXG,2025-11-23,3546
B09G2LNCXG,2025-11-30,3291
B09G2LNCXG,2025-12-07,1680
B09G2LNCXG,2025-12-14,4536
B09G2LNCXG,2025-12-21,1390
B09G2LNCXG,2025-12-28,1426
